"studyLatitude","studyLongitude","country","effectSize","sampleSize","interventionType","key","author","crop","crop2","duration","soil","climate","location"
39.03,-76.88,"United States of America",-0.311587593,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.474918915,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.151769944,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.308042995,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.482631036,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-1.93546619,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-1.809777975,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.147216846,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.175926952,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.273094482,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.256719847,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.698877855,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.85710186,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.306793581,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.128906621,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.074680765,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",0.029852963,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.57040726,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.436336772,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.370196969,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",0.07905349,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.714653386,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.612327774,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",0.12376463,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",0.089791087,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",0.170674171,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.046995369,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.21060233,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.157952966,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.04872919,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",-0.255263101,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
39.03,-76.88,"United States of America",0.243920679,"4","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"less than 1 year","USDA Class 62","Warm Temperate and Moist","Reported"
43.3,-89.35,"United States of America",-0.108368037,"10","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"more than 4 year","USDA Class 76","Cool Temperate and Dry","Reported"
42.65,-88.48,"United States of America",-0.187816076,"5","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"more than 4 year","USDA Class 76","Cool Temperate and Dry","Reported"
42.65,-88.48,"United States of America",0.259100897,"5","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"4 year","USDA Class 76","Cool Temperate and Dry","Reported"
42.65,-88.48,"United States of America",0.198285814,"5","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"4 year","USDA Class 76","Cool Temperate and Dry","Reported"
42.65,-88.48,"United States of America",0.187334099,"5","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"4 year","USDA Class 76","Cool Temperate and Dry","Reported"
-36.35,140.9,"Australia",-0.318453731,"2","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","USDA Class 31","Warm Temperate and Moist","Reported"
43.3,-89.35,"United States of America",-0.103989714,"10","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"more than 4 year","USDA Class 76","Cool Temperate and Dry","Reported"
43.3,-89.35,"United States of America",-0.140357358,"10","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"more than 4 year","USDA Class 76","Cool Temperate and Dry","Reported"
42.65,-88.48,"United States of America",-0.160901242,"7","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"more than 4 year","USDA Class 76","Cool Temperate and Dry","Reported"
42.65,-88.48,"United States of America",-0.066139803,"5","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"more than 4 year","USDA Class 76","Cool Temperate and Dry","Reported"
43.3,-89.35,"United States of America",-0.101176409,"12","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","soybean",NA,"more than 4 year","USDA Class 76","Cool Temperate and Dry","Reported"
42.65,-88.48,"United States of America",-0.135665865,"5","Organic",10,"dx.doi.org/10.1098/rspb.2014.1396","maize",NA,"more than 4 year","USDA Class 76","Cool Temperate and Dry","Reported"
